iso_ts,epoch_ts,inflight_requests,request_count,node_ready,node_not_ready
2026-03-19T18:30:54Z,1773945054,0,47099,1,0
2026-03-19T18:31:05Z,1773945065,0,47119,1,0
2026-03-19T18:31:56Z,1773945116,1,47202,1,0
2026-03-19T18:32:06Z,1773945126,1,47222,1,0
2026-03-19T18:32:15Z,1773945135,0,47236,1,0
2026-03-19T18:32:24Z,1773945144,1,47256,1,0
2026-03-19T18:32:34Z,1773945154,1,47263,1,0
2026-03-19T18:32:44Z,1773945164,1,47277,1,0
2026-03-19T18:32:54Z,1773945174,2,47296,1,0
2026-03-19T18:33:03Z,1773945183,2,47309,1,0
2026-03-19T18:33:13Z,1773945193,1,47319,1,0
2026-03-19T18:33:22Z,1773945202,1,47333,1,0
2026-03-19T18:33:33Z,1773945213,2,47352,1,0
2026-03-19T18:33:45Z,1773945225,1,47375,1,0
2026-03-19T18:33:54Z,1773945234,2,47392,1,0
2026-03-19T18:34:03Z,1773945243,1,47400,1,0
2026-03-19T18:34:16Z,1773945256,2,47415,1,0
2026-03-19T18:34:27Z,1773945267,1,47437,1,0
2026-03-19T18:34:39Z,1773945279,1,47453,1,0
2026-03-19T18:34:49Z,1773945289,2,47472,1,0
2026-03-19T18:35:28Z,1773945328,1,47528,1,0
2026-03-19T18:35:40Z,1773945340,1,47555,1,0
2026-03-19T18:35:50Z,1773945350,2,95182,1,0
2026-03-19T18:36:10Z,1773945370,1,47622,1,0
2026-03-19T18:36:22Z,1773945382,1,47639,1,0
2026-03-19T18:36:32Z,1773945392,2,47659,1,0
2026-03-19T18:36:41Z,1773945401,2,47676,1,0
2026-03-19T18:36:55Z,1773945415,1,47703,1,0
2026-03-19T18:37:06Z,1773945426,0,47721,1,0
2026-03-19T18:37:15Z,1773945435,0,47734,1,0
2026-03-19T18:37:25Z,1773945445,1,47757,1,0
2026-03-19T18:37:36Z,1773945456,2,47773,1,0
2026-03-19T18:37:47Z,1773945467,1,47789,1,0
2026-03-19T18:37:57Z,1773945477,8,47871,1,0
2026-03-19T18:38:09Z,1773945489,6,48097,1,0
2026-03-19T18:38:19Z,1773945499,1,48188,1,0
2026-03-19T18:38:30Z,1773945510,0,48230,1,0
2026-03-19T18:38:41Z,1773945521,3,48312,1,0
2026-03-19T18:38:50Z,1773945530,0,48345,1,0
2026-03-19T18:38:59Z,1773945539,1,48373,1,0
2026-03-19T18:39:08Z,1773945549,4,48413,1,0
2026-03-19T18:39:19Z,1773945559,4,48497,1,0
2026-03-19T18:39:47Z,1773945587,2,48546,1,0
2026-03-19T18:39:59Z,1773945599,1,48596,1,0
2026-03-19T18:40:09Z,1773945610,2,48635,1,0
2026-03-19T18:40:20Z,1773945620,0,48659,1,0
2026-03-19T18:40:29Z,1773945629,1,48685,1,0
2026-03-19T18:40:39Z,1773945639,0,48705,1,0
2026-03-19T18:40:51Z,1773945651,1,48727,1,0
2026-03-19T18:41:03Z,1773945663,0,48736,1,0
2026-03-19T18:41:13Z,1773945673,1,48781,1,0
2026-03-19T18:41:21Z,1773945681,2,48809,1,0
2026-03-19T18:41:32Z,1773945692,2,48833,1,0
2026-03-19T18:41:41Z,1773945701,1,48891,1,0
2026-03-19T18:41:51Z,1773945711,2,48916,1,0
2026-03-19T19:16:01Z,1773947761,0,52275,1,0
2026-03-19T19:16:10Z,1773947770,0,52296,1,0
2026-03-19T19:16:19Z,1773947779,2,52315,1,0
2026-03-19T19:16:30Z,1773947790,1,52347,1,0
2026-03-19T19:16:42Z,1773947802,0,52362,1,0
2026-03-19T19:16:52Z,1773947812,1,52380,1,0
2026-03-19T20:40:39Z,1773952839,2,60308,1,0
2026-03-19T20:40:48Z,1773952848,0,60335,1,0
2026-03-19T20:40:59Z,1773952859,1,60353,1,0
2026-03-19T20:41:09Z,1773952869,1,60368,1,0
2026-03-19T20:41:19Z,1773952879,0,60384,1,0
2026-03-19T20:41:27Z,1773952887,0,60398,1,0
2026-03-19T20:41:38Z,1773952898,0,60406,1,0
2026-03-19T20:41:47Z,1773952907,0,60419,1,0
2026-03-19T20:41:57Z,1773952917,2,60435,1,0
2026-03-19T20:42:09Z,1773952929,2,60444,1,0
2026-03-19T20:42:19Z,1773952939,0,60463,1,0
2026-03-19T20:42:32Z,1773952952,2,60483,1,0
2026-03-19T20:42:42Z,1773952962,1,60494,1,0
2026-03-19T20:42:54Z,1773952974,1,60512,1,0
2026-03-19T20:43:02Z,1773952982,1,60527,1,0
2026-03-19T20:43:13Z,1773952993,2,60542,1,0
2026-03-19T20:43:26Z,1773953006,2,60566,1,0
2026-03-19T20:43:38Z,1773953018,1,60578,1,0
2026-03-19T20:43:48Z,1773953028,1,60601,1,0
2026-03-19T20:43:57Z,1773953037,2,60618,1,0
2026-03-19T20:44:06Z,1773953046,0,60629,1,0
2026-03-19T20:44:15Z,1773953055,0,60647,1,0
2026-03-19T20:44:25Z,1773953065,1,60654,1,0
2026-03-19T20:44:39Z,1773953079,0,60676,1,0
2026-03-19T20:44:48Z,1773953088,1,60690,1,0
2026-03-19T20:45:00Z,1773953100,0,60710,1,0
2026-03-19T20:45:10Z,1773953110,0,60721,1,0
2026-03-19T20:45:19Z,1773953119,1,60734,1,0
2026-03-19T20:45:30Z,1773953130,0,60747,1,0
2026-03-19T20:45:39Z,1773953139,0,60762,1,0
2026-03-19T20:45:49Z,1773953149,2,60778,1,0
2026-03-19T20:46:02Z,1773953162,0,60797,1,0
2026-03-19T20:46:14Z,1773953174,1,60812,1,0
2026-03-19T20:46:25Z,1773953185,1,60829,1,0
2026-03-19T20:46:35Z,1773953195,1,60843,1,0
2026-03-19T20:46:45Z,1773953205,1,60858,1,0
2026-03-19T20:46:55Z,1773953215,0,60871,1,0
2026-03-19T20:47:04Z,1773953224,1,60889,1,0
2026-03-19T20:47:16Z,1773953236,0,60905,1,0
2026-03-19T20:47:25Z,1773953245,1,60919,1,0
2026-03-19T20:47:36Z,1773953256,1,60933,1,0
2026-03-19T20:47:46Z,1773953266,2,60948,1,0
2026-03-19T20:47:58Z,1773953278,1,60959,1,0
2026-03-19T20:48:09Z,1773953289,0,60972,1,0
2026-03-19T20:48:19Z,1773953299,1,60992,1,0
2026-03-19T20:48:31Z,1773953311,3,61018,1,0
